Label,Run#,Success,Path Cost,Nodes Expanded,Nodes Generated,Runtime (s),Max Frontier,Timestamp
Hill Climbing / 8-Queens,1,True,26,4,224,0.005387,1,2026-08-14T18:05:39+00:00
Hill Climbing / 8-Queens,2,True,28,4,224,0.004177,1,2026-08-14T18:05:40+00:00
Hill Climbing / 8-Queens,3,True,26,3,168,0.00521,1,2026-08-14T18:05:40+00:00
Hill Climbing / 8-Queens,4,True,26,5,280,0.008324,1,2026-08-14T18:05:41+00:00
Hill Climbing / 8-Queens,5,True,28,6,336,0.005039,1,2026-08-14T18:05:41+00:00
Hill Climbing / 8-Queens,6,True,25,3,168,0.00806,1,2026-08-14T18:05:42+00:00
Hill Climbing / 8-Queens,7,True,26,3,168,0.003505,1,2026-08-14T18:05:42+00:00
Hill Climbing / 8-Queens,8,True,28,4,224,0.008185,1,2026-08-14T18:05:43+00:00
Hill Climbing / 8-Queens,9,True,27,5,280,0.007063,1,2026-08-14T18:05:43+00:00
Hill Climbing / 8-Queens,10,True,26,4,224,0.005756,1,2026-08-14T18:05:44+00:00
Hill Climbing / 8-Queens,11,True,27,4,224,0.00448,1,2026-08-14T18:05:44+00:00
Hill Climbing / 8-Queens,12,True,27,6,336,0.005528,1,2026-08-14T18:05:45+00:00
Hill Climbing / 8-Queens,13,True,28,5,280,0.005845,1,2026-08-14T18:05:45+00:00
Hill Climbing / 8-Queens,14,True,28,6,336,0.004976,1,2026-08-14T18:05:45+00:00
Hill Climbing / 8-Queens,15,True,27,5,280,0.006608,1,2026-08-14T18:05:46+00:00
Hill Climbing / 8-Queens,16,True,26,4,224,0.007947,1,2026-08-14T18:05:46+00:00
Hill Climbing / 8-Queens,17,True,28,5,280,0.005846,1,2026-08-14T18:05:47+00:00
Hill Climbing / 8-Queens,18,True,28,6,336,0.005531,1,2026-08-14T18:05:47+00:00
Hill Climbing / 8-Queens,19,True,27,3,168,0.004036,1,2026-08-14T18:05:48+00:00
Hill Climbing / 8-Queens,20,True,28,5,280,0.004991,1,2026-08-14T18:05:48+00:00
Hill Climbing / 8-Queens,21,True,27,6,336,0.004651,1,2026-08-14T18:05:48+00:00
Hill Climbing / 8-Queens,22,True,27,6,336,0.005568,1,2026-08-14T18:05:49+00:00
Hill Climbing / 8-Queens,23,True,28,6,336,0.005404,1,2026-08-14T18:05:49+00:00
Hill Climbing / 8-Queens,24,True,27,4,224,0.007349,1,2026-08-14T18:05:49+00:00
Hill Climbing / 8-Queens,25,True,27,4,224,0.005286,1,2026-08-14T18:05:50+00:00
Hill Climbing / 8-Queens,26,True,26,4,224,0.005245,1,2026-08-14T18:05:50+00:00
Hill Climbing / 8-Queens,27,True,27,5,280,0.006013,1,2026-08-14T18:05:50+00:00
Hill Climbing / 8-Queens,28,True,28,7,392,0.004928,1,2026-08-14T18:05:51+00:00
Hill Climbing / 8-Queens,29,True,25,3,168,0.004335,1,2026-08-14T18:05:51+00:00
Hill Climbing / 8-Queens,30,True,26,4,224,0.005707,1,2026-08-14T18:05:52+00:00
Simulated Annealing / 8-Queens,1,True,27,263,1238,0.027232,1,2026-08-14T18:05:52+00:00
Simulated Annealing / 8-Queens,2,True,28,207,1238,0.026061,1,2026-08-14T18:05:53+00:00
Simulated Annealing / 8-Queens,3,True,27,298,1238,0.040199,1,2026-08-14T18:05:53+00:00
Simulated Annealing / 8-Queens,4,True,28,227,1238,0.025353,1,2026-08-14T18:05:54+00:00
Simulated Annealing / 8-Queens,5,True,28,209,1238,0.034669,1,2026-08-14T18:05:54+00:00
Simulated Annealing / 8-Queens,6,True,28,230,1238,0.021374,1,2026-08-14T18:05:55+00:00
Simulated Annealing / 8-Queens,7,True,28,206,1238,0.029231,1,2026-08-14T18:05:55+00:00
Simulated Annealing / 8-Queens,8,True,28,235,1238,0.030183,1,2026-08-14T18:05:56+00:00
Simulated Annealing / 8-Queens,9,True,27,256,1238,0.0295,1,2026-08-14T18:05:56+00:00
Simulated Annealing / 8-Queens,10,True,27,268,1238,0.024414,1,2026-08-14T18:05:57+00:00
Simulated Annealing / 8-Queens,11,True,28,249,1238,0.023354,1,2026-08-14T18:05:57+00:00
Simulated Annealing / 8-Queens,12,True,28,227,1238,0.022472,1,2026-08-14T18:05:58+00:00
