Maze ID,Trial,Path Cost,Nodes Expanded
Maze 1,1,880,880
Maze 1,2,128,128
Maze 1,3,454,454
Maze 1,4,198,198
Maze 1,5,746,746
Maze 1,6,78,78
Maze 1,7,62,62
Maze 1,8,60,60
Maze 1,9,102,102
Maze 1,10,60,60
Maze 1,11,60,60
Maze 1,12,56,56
Maze 1,13,48,48
Maze 1,14,48,48
Maze 1,15,48,48
Maze 1,16,48,48
Maze 1,17,48,48
Maze 1,18,48,48
Maze 1,19,48,48
Maze 1,20,48,48
Maze 2,1,570,570
Maze 2,2,694,694
Maze 2,3,194,194
Maze 2,4,270,270
Maze 2,5,188,188
Maze 2,6,216,216
Maze 2,7,170,170
Maze 2,8,68,68
Maze 2,9,76,76
Maze 2,10,66,66
Maze 2,11,52,52
Maze 2,12,64,64
Maze 2,13,52,52
Maze 2,14,52,52
Maze 2,15,52,52
Maze 2,16,52,52
Maze 2,17,52,52
Maze 2,18,52,52
Maze 2,19,52,52
Maze 2,20,52,52
Maze 3,1,754,754
Maze 3,2,352,352
Maze 3,3,552,552
Maze 3,4,104,104
Maze 3,5,384,384
Maze 3,6,66,66
Maze 3,7,66,66
Maze 3,8,50,50
Maze 3,9,108,108
Maze 3,10,62,62
Maze 3,11,52,52
Maze 3,12,48,48
Maze 3,13,48,48
Maze 3,14,48,48
Maze 3,15,48,48
Maze 3,16,48,48
Maze 3,17,48,48
Maze 3,18,48,48
Maze 3,19,48,48
Maze 3,20,48,48
Maze 4,1,626,626
Maze 4,2,130,130
Maze 4,3,158,158
Maze 4,4,412,412
Maze 4,5,104,104
Maze 4,6,142,142
Maze 4,7,376,376
Maze 4,8,106,106
Maze 4,9,92,92
Maze 4,10,134,134
Maze 4,11,98,98
Maze 4,12,94,94
Maze 4,13,76,76
Maze 4,14,72,72
Maze 4,15,94,94
Maze 4,16,72,72
Maze 4,17,70,70
Maze 4,18,74,74
Maze 4,19,54,54
Maze 4,20,54,54
Maze 5,1,468,468
Maze 5,2,358,358
Maze 5,3,308,308
Maze 5,4,288,288
Maze 5,5,184,184
Maze 5,6,294,294
Maze 5,7,180,180
Maze 5,8,190,190
Maze 5,9,260,260
Maze 5,10,182,182
Maze 5,11,158,158
Maze 5,12,122,122
Maze 5,13,84,84
Maze 5,14,122,122
Maze 5,15,100,100
Maze 5,16,122,122
Maze 5,17,144,144
Maze 5,18,98,98
Maze 5,19,76,76
Maze 5,20,68,68
