Label,Success,Path Cost,Nodes Expanded,Nodes Generated,Runtime (s),Runtime Std,Max Frontier,Runs
GBFS / 15pzl medium,True,7,8,17,0.001235,0.000474,11,3
A* / 15pzl medium,True,7,8,16,0.00098,0.000312,10,3
IDA* / 15pzl medium,True,7,7,8,0.001031,0.000235,8,3
RBFS / 15pzl medium,True,7.0,7,23,0.001054,0.000217,4,3
SMA*(1000) / 15pzl medium,True,7.0,15,16,0.001215,0.000259,13,3
Bidir-A* / 15pzl medium,True,7.0,20,46,0.002582,0.000741,28,3
GBFS / 15pzl hard,True,63,141,309,0.013884,0.00266,170,3
A* / 15pzl hard,True,19,23,50,0.003062,0.001001,29,3
IDA* / 15pzl hard,True,19,26,30,0.002881,0.000789,24,3
RBFS / 15pzl hard,True,19.0,29,96,0.002907,0.001049,4,3
SMA*(1000) / 15pzl hard,True,19.0,40,41,0.002441,0.000889,31,3
Bidir-A* / 15pzl hard,True,19.0,2022,4139,0.24456,0.039807,2119,3
GBFS / 15pzl complex,False,0,0,0,10.0,0.0,0,1
A* / 15pzl complex,True,28,109,230,0.010267,0.003363,123,3
IDA* / 15pzl complex,True,28,112,116,0.01049,0.002414,33,3
RBFS / 15pzl complex,True,28.0,131,423,0.008144,0.000381,4,3
SMA*(1000) / 15pzl complex,False,0,0,0,10.0,0.0,0,1
Bidir-A* / 15pzl complex,True,32.0,43254,85566,3.978462,0.15795,42314,3
