Label,Success,Path Cost,Nodes Expanded,Nodes Generated,Runtime (s),Runtime Std,Max Frontier,Runs
DFS / maze 10x10,True,22,60,64,0.000669,0.000168,12,3
BFS / maze 10x10,True,22,79,82,0.001386,7.2e-05,10,3
UCS / maze 10x10,True,22,63,71,0.001418,0.000351,12,3
IDDFS / maze 10x10,True,22,89,93,0.001205,0.000301,12,3
Bidir-Search / maze 10x10,True,0.0,58,62,0.000712,0.000227,11,3
GBFS / maze 10x10,True,22,31,44,0.000566,0.00014,15,3
A* / maze 10x10,True,22,39,47,0.000813,0.000326,10,3
IDA* / maze 10x10,True,22,65,69,0.001216,0.00033,28,3
RBFS / maze 10x10,True,22.0,418,998,0.009295,0.003027,4,3
SMA*(1000) / maze 10x10,True,22.0,43,44,0.001521,0.000458,19,3
Bidir-A* / maze 10x10,True,22.0,65,69,0.001354,0.000465,13,3
IGBFS / maze 10x10,True,22,62,72,0.001009,0.000197,34,3
DFS / maze 30x30,False,0,0,0,10.0,0.0,0,1
BFS / maze 30x30,False,0,0,0,10.0,0.0,0,1
UCS / maze 30x30,False,0,0,0,10.0,0.0,0,1
IDDFS / maze 30x30,False,0,0,0,10.0,0.0,0,1
Bidir-Search / maze 30x30,False,0,0,0,10.0,0.0,0,1
GBFS / maze 30x30,False,0,0,0,10.0,0.0,0,1
A* / maze 30x30,False,0,0,0,10.0,0.0,0,1
IDA* / maze 30x30,False,0,0,0,10.0,0.0,0,1
RBFS / maze 30x30,False,0,0,0,10.0,0.0,0,1
SMA*(1000) / maze 30x30,False,0,0,0,10.0,0.0,0,1
Bidir-A* / maze 30x30,False,0,0,0,10.0,0.0,0,1
IGBFS / maze 30x30,False,0,0,0,10.0,0.0,0,1
DFS / maze 50x50,False,0,0,0,10.0,0.0,0,1
BFS / maze 50x50,False,0,0,0,10.0,0.0,0,1
UCS / maze 50x50,False,0,0,0,10.0,0.0,0,1
IDDFS / maze 50x50,False,0,0,0,10.0,0.0,0,1
Bidir-Search / maze 50x50,False,0,0,0,10.0,0.0,0,1
GBFS / maze 50x50,False,0,0,0,10.0,0.0,0,1
A* / maze 50x50,False,0,0,0,10.0,0.0,0,1
IDA* / maze 50x50,False,0,0,0,10.0,0.0,0,1
RBFS / maze 50x50,False,0,0,0,10.0,0.0,0,1
SMA*(1000) / maze 50x50,False,0,0,0,10.0,0.0,0,1
Bidir-A* / maze 50x50,False,0,0,0,10.0,0.0,0,1
IGBFS / maze 50x50,False,0,0,0,10.0,0.0,0,1
